reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,insturctions.started,key_instruct.started,insturctions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,polygon.started,choice.started,polygon.stopped,trial.stopped,response.keys,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,53,136,0,39,39,85,132.85834795807023,,,,,,,,132.84392125008162,132.85834795807023,133.84192970802542,133.8485953330528,135.99959891603794,l,2.1456701660063118,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
83,86,110,0,40,40,39,136.0139024159871,,,,,,,,136.00031858298462,136.0139024159871,137.00043154100422,137.0087199159898,139.43294266599696,t,2.428619208978489,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
25,89,129,0,41,41,27,139.44709858298302,,,,,,,,139.43361762503628,139.44709858298302,140.43461716605816,140.44128733302932,142.01015612506308,l,1.5677716670325026,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
10,61,58,0,42,42,53,142.02625250001438,,,,,,,,142.01087574998382,142.02625250001438,143.0082940410357,143.02547079103533,144.483815915999,l,1.466157624963671,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
85,140,134,0,43,43,44,144.49844620807562,,,,,,,,144.48450933303684,144.49844620807562,145.48430650006048,145.49214837502223,146.6330870409729,l,1.142131624976173,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
20,26,77,0,44,44,78,146.64871041604783,,,,,,,,146.63379475008696,146.64871041604783,147.62552050000522,147.64226708305068,149.2268911250867,t,1.5872737920144573,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
6,74,130,0,45,45,96,149.2417166250525,,,,,,,,149.2274781659944,149.2417166250525,150.26827470806893,150.27615637506824,151.55979329103138,l,1.2863871660083532,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
35,62,109,0,46,46,58,151.57274149998557,,,,,,,,151.560615165974,151.57274149998557,152.5510620410787,152.56406000000425,155.17708866600879,l,2.6045295420335606,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
93,145,55,0,47,47,98,155.19260254106484,,,,,,,,155.17783420800697,155.19260254106484,156.17534462502226,156.18148908298463,157.81042287498713,l,1.6249042919371277,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
23,52,91,0,48,48,31,157.8256797910435,,,,,,,,157.8111478750361,157.8256797910435,158.80926233308855,158.815805500024,161.93370920803864,t,3.114820500020869,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
